STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",29-01-1960,,,,,,100,0,,0,0,,44,27,,,,,338,,,,,,23,,,,,,,1,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",30-01-1960,,,,,,36,0,,0,0,,38,28,,,,,338,,,,,,23,,1,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",31-01-1960,,,,,,742,0,,0,0,,33,24,,,,,68,,,,,,26.4,,1,,,,,,,1,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",01-02-1960,,,,,,148,0,,0,0,,34,27,,,,,90,,,,,,23,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",02-02-1960,,,,,,2236,0.03,,0.2,0,,30,26,,,,,338,,,,,,24.2,,1,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",03-02-1960,,,,,,1012,0.03,,0.7,1,,42,25,,,,,338,,,,,,40.3,,,,,,,,,,1,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",04-02-1960,,,,,,106,0,,0,0,,53,29,,,,,315,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",05-02-1960,,,,,,1242,0,,0,0,,42,33,,,,,68,,,,,,17.2,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",06-02-1960,,,,,,948,0.5,,0,0,,50,38,,,,,135,,,,,,42.5,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",07-02-1960,,,,,,1924,0,,0,0,,44,29,,,,,293,,,,,,42.5,,1,,,,,,,1,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",08-02-1960,,,,,,236,0,,0,0,,34,22,,,,,293,,,,,,38,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",09-02-1960,,,,,,48,0.02,,0.5,0,,50,30,,,,,225,,,,,,20.8,,1,,,,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10-02-1960,,,,,,1130,0,,0,0,,42,36,,,,,90,,,,,,19.5,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11-02-1960,,,,,,1042,0.59,,0,0,,56,39,,,,,158,,,,,,38,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12-02-1960,,,,,,1048,0.01,,0,0,,49,26,,,,,293,,,,,,36.7,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",13-02-1960,,,,,,706,0,,0,0,,29,20,,,,,315,,,,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",14-02-1960,,,,,,1848,0.78,,0.6,1,,48,21,,,,,225,,,,,,46.1,,1,,,1,,1,,,,,,,,,1,,1,,,
